municipio,codigo_ibge,taxa_100k_22,taxa_100k_23,taxa_100k_24,populacao_22,populacao_23,populacao_24
itu,3523909,1383.74,2064.75,1836.03,168240,171401.0,174561
itupeva,3524006,1525.15,1698.26,1650.05,70616,72368.0,74119
ituverava,3524105,1831.2,2441.4,2416.06,37571,38011.0,38451
jaborandi,3524204,1044.85,1294.55,1096.46,6221,6257.0,6293
jaboticabal,3524303,2255.61,2140.58,1757.25,71821,72644.0,73467
jacarei,3524402,1723.44,1770.14,1701.82,240275,245122.0,249968
jaci,3524501,1274.14,1290.99,1396.29,7613,7746.0,7878
jacupiranga,3524600,1397.78,1594.96,1507.32,16097,16176.0,16254
jaguariuna,3524709,2783.63,2190.71,1975.7,59347,60574.0,61801
jales,3524808,2388.47,2571.01,2517.14,48776,49397.0,50017
jambeiro,3524907,1344.38,1557.2,1749.05,6397,6486.0,6575
jandira,3525003,1592.61,1524.78,1511.62,118045,120017.0,121988
jardinopolis,3525102,1894.79,2179.06,1566.1,45282,46075.0,46868
jarinu,3525201,1441.32,1507.8,1694.87,37535,38533.0,39531
jau,3525300,2146.86,2299.68,2334.64,133497,135410.0,137323
jeriquara,3525409,2562.78,3724.49,3898.39,3863,3920.0,3976
joanopolis,3525508,1708.93,1790.81,1596.03,12815,12955.0,13095
joao ramalho,3525607,1807.37,1699.14,1526.03,4371,4414.0,4456
jose bonifacio,3525706,1777.09,2196.21,1690.48,36633,37246.0,37859
julio mesquita,3525805,1810.06,1004.44,1114.21,4254,4281.0,4308
jumirim,3525854,1145.29,1165.05,1120.72,3056,3090.0,3123
jundiai,3525904,2004.87,1929.98,1885.67,443221,451767.0,460313
junqueiropolis,3526001,1251.96,1538.98,1345.91,20448,20663.0,20878
juquia,3526100,2524.19,2673.64,2561.58,17154,17205.0,17255
juquitiba,3526209,2156.62,2317.19,2527.94,27404,27706.0,28007
lagoinha,3526308,1121.39,1383.21,945.58,5083,5133.0,5182
laranjal paulista,3526407,1492.71,1719.54,1669.81,26261,26635.0,27009
lavinia,3526506,1052.74,1602.2,1655.06,9689,9799.0,9909
lavrinhas,3526605,1659.46,1255.17,1105.35,7171,7250.0,7328
leme,3526704,2357.35,2337.1,2177.35,98161,99739.0,101316
lencois paulista,3526803,1536.73,1773.17,1643.39,66505,67450.0,68395
limeira,3526902,2373.67,2582.53,2271.82,291869,296299.0,300728
lindoia,3527009,1126.32,1228.64,1371.2,7014,7081.0,7147
lins,3527108,3163.99,2758.93,2630.04,74779,75754.0,76729
lorena,3527207,1818.4,1750.03,1592.08,84855,86113.0,87370
lourdes,3527256,769.23,1123.02,1168.7,1950,1959.0,1968
louveira,3527306,1164.97,1309.95,1332.45,51847,52979.0,54111
lucelia,3527405,1689.85,1543.26,1929.12,20061,20217.0,20372
lucianopolis,3527504,1053.96,1210.35,1281.52,2372,2396.0,2419
luis antonio,3527603,1573.58,1484.11,1468.36,12265,12398.0,12531
luiziania,3527702,872.15,973.34,820.88,4701,4726.0,4751
lupercio,3527801,1306.2,1050.26,1394.08,3981,3999.0,4017
lutecia,3527900,1315.3,858.21,1074.47,2661,2680.0,2699
macatuba,3528007,1479.59,1107.51,1115.65,16829,16975.0,17120
macaubal,3528106,1056.01,1035.31,1383.95,7481,7534.0,7587
macedonia,3528205,1160.74,948.58,790.51,3963,4006.0,4048
magda,3528304,884.68,1097.52,996.26,3165,3189.0,3212
mairinque,3528403,1361.26,1429.86,1457.61,50027,50844.0,51660
mairipora,3528502,1804.95,1753.71,1752.58,93853,95626.0,97399
manduri,3528601,1002.94,971.75,1149.43,9871,9982.0,10092
maraba paulista,3528700,765.36,956.52,1037.39,4573,4600.0,4627
maracai,3528809,1562.38,1356.86,1590.52,12673,12750.0,12826
marapoama,3528858,1458.08,1077.2,1149.76,3292,3342.0,3392
mariapolis,3528908,1053.23,907.54,988.98,3513,3526.0,3539
marilia,3529005,2395.35,2293.01,2212.25,237627,242127.0,246627
marinopolis,3529104,967.74,1233.24,1229.95,1860,1865.0,1870
martinopolis,3529203,1539.33,1693.9,1857.78,24881,25090.0,25299
matao,3529302,1776.47,1892.12,1465.47,79033,80016.0,80998
maua,3529401,2409.02,2319.61,2150.31,418261,423821.0,429380
mendonca,3529500,2143.21,2330.78,2151.04,6159,6264.0,6369
meridiano,3529609,1224.85,1014.02,1064.51,4572,4635.0,4697
mesopolis,3529658,1588.11,1015.23,1861.17,1952,1970.0,1988
miguelopolis,3529708,2962.81,3140.99,2192.83,19441,19548.0,19655
mineiros do tiete,3529807,1763.13,1541.19,1436.25,11230,11290.0,11349
mira estrela,3530003,991.68,1738.86,1031.57,3126,3163.0,3199
miracatu,3529906,3007.6,3072.63,3431.66,18553,18616.0,18679
mirandopolis,3530102,1307.94,1759.52,1558.97,27983,28360.0,28737
mirante do paranapanema,3530201,2161.21,1663.23,1667.81,15917,15993.0,16069
mirassol,3530300,1654.64,1873.9,1684.36,63337,64411.0,65485
mirassolandia,3530409,1584.92,2055.08,2033.12,4669,4720.0,4771
mococa,3530508,2440.86,2694.77,2385.9,67681,68503.0,69324
mogi das cruzes,3530607,2054.68,2059.1,1858.93,451505,459813.0,468120
mogi guacu,3530706,2285.6,2240.63,2064.04,153658,156697.0,159735
mogi mirim,3530805,2362.84,2101.1,2109.2,92558,94046.0,95534
mombuca,3530904,1450.83,1724.6,1363.04,3722,3769.0,3815
moncoes,3531001,1342.28,1336.07,1023.54,1937,1946.0,1954
mongagua,3531100,5597.97,5416.3,4967.53,61951,63235.0,64519
monte alegre do sul,3531209,1112.79,1131.43,1138.28,8627,8750.0,8873
monte alto,3531308,1694.2,1514.02,1485.89,47574,48150.0,48725
monte aprazivel,3531407,1907.54,1838.42,1885.21,22280,22465.0,22650
monte azul paulista,3531506,1663.82,2344.31,1824.32,18151,18257.0,18363
monte castelo,3531605,1136.9,1384.33,1511.28,4222,4262.0,4301
monte mor,3531803,1592.9,1671.74,1540.95,64662,65979.0,67296
monteiro lobato,3531704,1909.13,2253.12,1712.25,4138,4172.0,4205
morro agudo,3531902,1847.28,2463.98,2342.35,27933,28247.0,28561
morungaba,3532009,1071.43,1222.93,1157.59,13720,13901.0,14081
motuca,3532058,1239.46,739.46,858.05,4034,4057.0,4079
murutinga do sul,3532108,1364.73,1600.0,1302.15,3737,3750.0,3763
nantes,3532157,1428.57,1791.04,1185.62,2660,2680.0,2699
narandiba,3532207,2625.59,1979.01,2132.7,5713,5811.0,5908
natividade da serra,3532306,871.55,1117.87,1303.62,6999,7067.0,7134
nazare paulista,3532405,1526.05,1444.16,1509.13,18217,18419.0,18620
neves paulista,3532504,1226.93,1233.44,1128.92,9699,9810.0,9921
nhandeara,3532603,1522.53,1252.78,1377.72,9852,9898.0,9944
nipoa,3532702,1347.37,1602.5,1419.75,4750,4805.0,4860
nova alianca,3532801,1075.75,1283.94,1122.78,6693,6776.0,6858
nova campina,3532827,1271.04,980.85,1309.23,8497,8564.0,8631
nova canaa paulista,3532843,1230.31,1026.89,1457.73,2032,2045.0,2058
nova castilho,3532868,1224.11,1029.96,931.1,1062,1068.0,1074
nova europa,3532900,1600.26,1172.08,1522.36,9311,9385.0,9459
nova granada,3533007,1447.04,1604.33,1302.92,19419,19572.0,19725
nova guataporanga,3533106,1113.17,1058.93,1142.6,2156,2172.0,2188
nova independencia,3533205,1475.37,1616.33,1376.43,4609,4702.0,4795
nova luzitania,3533304,916.46,951.37,1797.04,2837,2838.0,2838
nova odessa,3533403,1546.3,1786.96,1709.53,62019,63124.0,64228
novais,3533254,1155.94,990.77,1185.95,4412,4441.0,4469
novo horizonte,3533502,2176.18,2227.37,1825.79,38324,38880.0,39435
nuporanga,3533601,2070.09,2810.87,2039.74,7391,7471.0,7550
ocaucu,3533700,1408.45,1349.5,1405.26,4331,4372.0,4412
oleo,3533809,796.18,1068.88,1220.47,2512,2526.0,2540
olimpia,3533908,1953.73,1638.99,1661.35,55074,55888.0,56701
onda verde,3534005,1655.84,1693.52,1934.04,4771,4842.0,4912
oriente,3534104,1068.2,1239.2,1084.14,6085,6133.0,6180
orindiuva,3534203,879.81,1002.47,846.22,6024,6085.0,6145
