codigo_ibge,pop_censo_22,pop_estimada_24,municipio
3551009,329911,338407,sao vicente
3551306,3130,3187,sebastianopolis do sul
3510302,22866,23597,capela do alto
3514205,2207,2250,dolcinopolis
3523602,16148,16433,itirapina
3531209,8627,8873,monte alegre do sul
3520608,5090,5191,indiana
3503356,2044,2085,arcoiris
3517109,4138,4173,glicerio
3556701,76540,79235,vinhedo
3557154,2692,2761,zacarias
3506359,64188,66873,bertioga
3509957,4931,5049,canas
3534807,7779,7901,ouro verde
3547205,1670,1698,santana da ponte pensa
3549409,48558,49815,sao joaquim da barra
3554003,123942,128560,tatui
3506201,2606,2642,bento de abreu
3507308,4715,4823,boraceia
3508900,3712,3745,caiabu
3511904,6982,7087,clementina
3548500,418608,429567,santos
3500758,6141,6330,alambari
3532306,6999,7134,natividade da serra
3537305,61679,63317,penapolis
3505005,3531,3618,barao de antonina
3532108,3737,3763,murutinga do sul
3500303,32072,32888,aguai
3508702,17101,17266,caconde
3513504,112476,115082,cubatao
3529302,79033,80998,matao
3547403,2733,2790,santa rita doeste
3554508,37663,38690,tiete
3557006,127923,132849,votorantim
3509007,95032,98257,caieiras
3514809,13069,13162,eldorado
3543709,9098,9145,rincao
3553955,14882,15248,taruma
3512209,28101,29034,conchal
3553401,25265,26021,tanabi
3504206,13692,13873,auriflama
3506102,76373,78210,bebedouro
3507209,907,928,bora
3527405,20061,20372,lucelia
3555901,1387,1419,uru
3509908,12289,12489,cananeia
3525201,37535,39531,jarinu
3528809,12673,12826,maracai
3501004,16818,17156,altinopolis
3503802,51456,53157,artur nogueira
3509205,92689,97363,cajamar
3530508,67681,69324,mococa
3547106,2956,3012,santa mercedes
3543006,18627,18930,ribeirao branco
3503505,3577,3625,areias
3521408,21967,22435,iracemapolis
3501202,3915,3978,alvares florence
3514403,45474,46664,dracena
3517703,18606,18790,guara
3531902,27933,28561,morro agudo
3552007,6186,6313,silveiras
3503307,130866,135331,araras
3531506,18151,18363,monte azul paulista
3537602,68352,70543,peruibe
3540309,2387,2415,pontes gestal
3503000,5420,5526,aramina
3530300,63337,65485,mirassol
3517000,10232,10355,getulina
3520442,25549,26240,ilha solteira
3539301,73545,75475,pirassununga
3547700,17963,18045,santo anastacio
3534401,728615,756952,osasco
3557303,11295,11566,estiva gerbi
3546504,6118,6256,santa ernestina
3549953,16067,16458,sao lourenco da serra
3550803,10441,10484,sao sebastiao da grama
3514502,12328,12529,duartina
3529104,1860,1870,marinopolis
3533205,4609,4795,nova independencia
3503208,242228,252318,araraquara
3500105,34687,35642,adamantina
3503703,7602,7653,ariranha
3535002,11476,11689,palestina
3551900,14576,14724,severinia
3527504,2372,2419,lucianopolis
3527603,12265,12531,luis antonio
3555604,10394,10627,uchoa
3502606,4086,4124,aparecida doeste
3511607,19048,19588,cesario lange
3518206,31043,31872,guararapes
3521507,6867,6946,irapua
3527702,4701,4751,luiziania
3539707,3025,3061,platina
3552304,7355,7466,sud mennucci
3535408,14964,15214,panorama
3507159,3555,3610,bom sucesso de itarare
3529203,24881,25299,martinopolis
3510401,50068,51318,capivari
3515350,7924,7928,euclides da cunha paulista
3522653,4306,4405,itapirapua paulista
3554755,1682,1719,trabiju
3505906,58402,59873,batatais
3534906,14877,15217,pacaembu
3543600,4049,4158,rifaina
3550902,13442,13590,sao simao
3521606,7085,7145,irapuru
3523008,3979,4014,itapura
3525706,36633,37859,jose bonifacio
3538501,12490,12570,piquete
3525003,118045,121988,jandira
3529658,1952,1988,mesopolis
3541000,349935,365577,praia grande
3543105,4608,4706,ribeirao corrente
3519808,7819,7969,icem
